N,P,K,temperature,humidity,ph,rainfall,label
42.71,24.78,31.78,25.2,42.92,6.48,116.25,Little Millet
34.5,29.52,36.9,33.23,52.15,7.24,62.36,Sesame
93.79,60.29,47.45,25.15,67.4,7.05,78.53,Tomato
32.44,32.45,30.03,12.05,54.47,6.31,60.59,Peas
81.52,21.42,36.93,23.35,58.29,6.82,81.18,Maize
62.32,26.19,70.76,24.46,59.21,6.22,69.55,Beetroot
73.78,46.26,32.95,20.19,50.38,6.18,78.89,Maize
33.85,33.45,29.5,24.91,60.58,7.05,87.71,Sesame
61.96,33.35,58.71,22.62,69.02,6.72,67.66,Carrot
56.26,31.1,64.97,22.2,55.72,6.05,62.02,Carrot
91.35,43.24,80.71,26.96,97.31,6.1,291.78,Rubber
93.51,49.93,118.16,24.62,68.73,6.57,98.44,Papaya
78.58,27.16,97.3,20.02,58.82,6.68,46.23,Carrot
51.25,31.06,29.49,26.33,54.72,6.66,72.13,Castor
55.6,27.88,30.94,27.78,51.56,6.21,120.93,Little Millet
115.1,56.82,59.97,25.22,64.37,6.87,72.26,Brinjal
59.41,37.4,25.34,24.17,71.17,6.63,116.61,Soybean
36.58,30.66,39.43,17.36,54.62,6.49,36.71,Rajma
28.82,29.95,31.42,29.74,42.48,6.43,53.27,Horse Gram
98.48,64.5,70.83,23.16,57.34,7.39,107.58,Brinjal
106.57,63.36,99.27,29.95,71.07,6.38,222.02,Mango
79.63,31.6,29.22,18.51,43.14,6.64,83.34,Wheat
31.52,32.2,35.19,28.57,69.87,6.67,92.74,Niger Seed
21.03,34.72,28.25,30.54,59.08,5.69,72.23,Cowpea
51.21,24.99,26.6,26.62,58.86,6.62,78.98,Foxtail Millet
112.98,63.92,60.19,18.14,71.74,6.88,73.78,Brinjal
98.15,56.26,108.98,26.9,67.19,6.26,152.98,Orange
104.02,50.75,75.2,31.58,81.71,6.03,177.74,Arecanut
36.65,39.47,32.03,18.76,52.3,6.45,62.51,Radish
93.57,49.21,99.35,23.71,57.37,6.43,57.02,Grapes
50.76,30.67,35.06,19.07,49.51,6.89,59.96,Mustard
58.03,27.73,26.82,19.66,34.55,6.71,55.7,Linseed
94.67,36.06,78.89,21.35,88.96,5.97,214.31,Pineapple
54.14,32.07,23.44,25.54,68.63,6.85,104.05,Finger Millet
79.74,28.76,75.54,31.58,57.92,6.9,126.41,Guava
80.87,52.32,63.79,22.18,56.48,6.7,32.97,Onion
62.02,25.09,36.55,21.99,38.89,6.24,35.79,Mustard
123.83,52.03,102.54,22.39,57.5,7.2,85.62,Grapes
57.48,36.8,62.83,18.17,62.12,6.61,40.3,Carrot
43.74,26.71,35.32,30.99,64.9,6.75,67.95,Sesame
34.21,32.77,27.64,20.11,37.43,6.09,80.65,Chickpea
39.08,24.63,16.53,32.59,48.49,7.0,116.93,Red Gram
77.06,38.75,60.82,23.96,67.48,6.2,75.13,Onion
45.42,34.77,35.84,20.83,51.31,7.65,73.58,Chickpea
107.55,54.78,92.92,27.15,81.01,6.1,296.01,Coconut
52.04,37.47,26.7,21.2,56.82,6.04,67.35,Radish
30.6,29.05,31.64,32.89,52.98,5.95,81.22,Cowpea
91.99,32.79,24.3,17.94,56.04,6.58,50.19,Wheat
44.45,27.52,29.63,19.41,45.63,6.56,61.43,Safflower
43.61,41.11,29.96,28.56,51.24,7.09,68.94,Sesame
28.25,35.02,31.33,21.24,57.89,6.54,89.28,Rajma
45.34,38.88,40.84,35.03,47.22,6.86,72.7,Sorghum
125.54,69.33,125.73,30.68,81.75,6.93,246.82,Banana
70.85,24.44,65.15,28.58,68.65,5.77,137.6,Cashew
75.55,43.92,80.64,25.04,54.91,7.11,75.22,Pomegranate
114.07,51.76,129.3,31.24,78.11,6.22,158.07,Banana
48.24,23.9,29.07,24.33,71.99,6.81,103.15,Kodo Millet
72.3,29.38,32.98,30.67,49.49,6.75,67.44,Castor
79.72,36.77,26.82,19.16,58.77,6.72,64.53,Barley
68.75,44.75,55.74,25.96,57.86,7.46,42.6,Okra
45.09,24.49,37.47,21.45,56.72,6.5,57.59,Peas
97.17,49.45,82.94,28.49,55.03,7.34,85.32,Grapes
25.94,25.66,26.26,26.93,52.14,5.4,76.64,Niger Seed
41.28,33.74,18.45,20.6,49.48,7.24,43.63,Radish
59.0,36.49,36.1,34.75,47.62,6.65,59.72,Pearl Millet
54.05,29.29,63.15,33.46,65.34,6.57,213.44,Cashew
96.39,50.28,93.24,33.74,53.03,6.57,63.18,Grapes
43.48,29.84,30.82,25.79,52.17,6.51,54.29,Safflower
60.36,29.33,37.14,15.46,48.55,6.55,60.79,Mustard
53.92,28.96,23.37,29.34,56.24,7.06,96.64,Black Gram
41.63,29.01,32.96,17.83,46.46,6.43,77.11,Rajma
71.13,62.49,52.05,23.71,66.29,7.67,70.17,Chilli
51.71,34.54,33.67,17.92,50.65,6.85,33.86,Mustard
21.17,35.35,31.37,23.86,47.27,7.01,55.04,Horse Gram
23.85,32.18,26.53,26.37,57.89,5.74,99.5,Niger Seed
44.54,25.9,24.4,21.48,55.52,7.5,114.8,Field Bean
66.64,48.87,59.78,23.86,56.99,6.35,62.47,Onion
33.19,27.63,29.94,27.49,42.21,6.61,68.01,Horse Gram
68.34,22.96,28.6,29.27,56.09,7.23,57.68,Castor
87.99,46.99,100.56,21.89,79.26,5.18,139.4,Pineapple
93.0,75.22,97.84,29.18,53.9,6.26,186.23,Mango
49.68,24.98,31.53,18.32,47.77,6.98,50.09,Linseed
88.51,45.39,104.87,25.22,57.2,6.27,61.85,Grapes
83.41,42.98,27.7,17.99,62.2,7.16,52.96,Barley
90.22,36.17,39.02,32.13,66.25,6.22,71.92,Maize
42.86,24.87,30.12,24.39,53.69,6.04,88.53,Cowpea
57.83,24.81,51.26,30.38,70.57,6.82,73.85,Bottle Gourd
58.08,50.42,55.57,20.61,57.19,6.22,56.89,Garlic
23.82,32.35,28.73,26.15,49.49,6.35,46.56,Horse Gram
56.13,20.01,23.65,36.64,49.69,6.63,87.32,Castor
37.65,20.71,31.4,20.35,47.94,6.68,58.54,Safflower
34.38,25.89,29.28,22.98,57.57,7.52,46.79,Chickpea
42.96,33.01,27.25,27.43,67.49,7.11,69.73,Groundnut
109.65,58.42,78.49,22.96,63.7,6.83,56.94,Cabbage
98.76,47.92,78.04,33.65,70.15,6.21,213.77,Arecanut
102.19,51.93,62.58,29.39,78.92,5.05,209.26,Tea
61.9,30.85,74.79,19.15,59.29,6.49,40.55,Beetroot
60.2,32.15,48.2,26.23,76.11,6.09,215.71,Cashew
57.6,29.62,30.31,8.45,51.52,7.1,46.38,Mustard
65.1,25.31,29.78,27.0,58.29,6.8,108.89,Soybean
39.5,24.55,33.88,21.5,53.58,7.93,48.91,Safflower
45.33,30.89,29.89,34.36,52.0,5.97,77.98,Cowpea
96.99,44.07,99.29,29.81,62.95,6.54,126.09,Papaya
39.57,26.08,27.89,20.36,47.92,6.28,64.51,Rajma
90.2,42.37,48.68,19.04,84.21,5.16,191.14,Coffee
110.41,49.85,115.76,24.99,84.9,6.77,131.22,Banana
51.26,25.02,31.32,27.79,52.79,5.92,110.7,Kodo Millet
96.62,48.88,93.13,34.41,67.97,6.63,160.36,Papaya
79.32,31.19,26.53,20.76,56.83,6.72,42.42,Barley
37.13,32.26,28.56,25.39,56.71,6.05,91.97,Niger Seed
93.07,49.49,75.5,20.32,77.03,4.7,249.01,Tea
81.1,56.84,70.98,25.42,54.89,6.4,55.97,Onion
93.47,55.12,88.87,25.16,58.25,6.2,111.24,Mango
51.83,32.32,46.73,19.32,58.28,6.63,62.83,Beetroot
51.76,29.16,32.49,21.42,47.46,6.78,57.05,Linseed
67.82,51.43,79.28,31.25,63.54,6.27,94.33,Guava
44.89,30.74,27.36,22.16,50.39,6.57,48.99,Linseed
90.09,42.3,78.66,31.57,63.2,6.31,182.17,Litchi
107.68,64.66,120.09,30.95,80.8,6.94,114.25,Banana
33.58,23.08,25.45,27.49,49.03,7.34,55.22,Horse Gram
91.14,46.93,53.04,29.23,77.81,5.33,220.3,Tea
92.62,51.09,78.21,24.07,81.61,6.24,215.28,Arecanut
70.32,25.71,46.38,21.22,65.12,6.53,69.9,Beetroot
86.58,49.83,96.0,25.37,63.33,5.27,73.4,Orange
98.8,54.94,120.03,26.32,58.82,6.65,47.18,Grapes
86.0,47.75,29.49,25.03,59.94,5.85,90.69,Maize
35.77,40.45,34.91,29.93,58.14,6.64,87.02,Red Gram
102.65,39.11,56.07,19.22,80.17,6.2,112.35,Pineapple
65.58,26.24,55.12,23.8,76.26,5.63,73.05,Pumpkin
67.24,41.88,49.05,27.75,60.82,6.76,85.7,Okra
106.8,63.13,122.81,23.66,65.16,6.69,164.79,Orange
83.73,40.11,43.2,20.93,56.36,6.82,43.24,Garlic
103.38,56.82,45.77,32.17,89.89,5.78,208.05,Rice
79.96,36.17,61.71,32.41,76.08,6.53,180.9,Cashew
99.84,47.91,70.85,23.71,81.13,5.16,259.49,Tea
43.64,32.14,28.83,24.66,61.4,6.81,101.28,Little Millet
40.72,26.86,28.62,29.88,50.33,7.28,78.14,Black Gram
63.59,35.51,37.95,26.36,57.75,6.68,62.88,Foxtail Millet
66.82,30.21,54.53,19.42,63.44,6.61,38.24,Beetroot
104.21,37.98,72.7,21.3,71.57,6.5,101.22,Cauliflower
57.39,28.1,30.72,24.44,56.34,7.28,78.63,Sunflower
