crop,leaf_color,spot_color,spot_size,leaf_curl,powder,stem,temperature,humidity,disease
Rice,Brown,Brown,None,No,No,Healthy,30.2,66.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.3,89.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,20.9,82.0,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,18.6,83.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,18.6,74.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Rotten,21.8,75.9,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,31.1,98.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.5,100.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.8,104.4,Brown Spot
Rice,Green,Brown,Medium,Yes,No,Healthy,25.2,104.3,Brown Spot
Rice,Yellow,Brown,Medium,No,No,Healthy,33.1,71.7,Brown Spot
Rice,Green,Brown,Medium,No,No,Dry,21.6,80.1,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,22.4,74.9,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,22.9,99.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.8,70.2,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,35.4,99.0,Brown Spot
Rice,Brown,None,Medium,No,No,Healthy,25.7,69.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,33.4,69.8,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,34.4,69.3,Brown Spot
Rice,Black,Brown,Medium,No,No,Healthy,34.6,51.2,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,27.2,78.9,Brown Spot
Rice,Black,Brown,Small,No,No,Healthy,27.7,98.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.6,87.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.9,102.0,Brown Spot
Rice,Brown,Yellow,Medium,No,No,Healthy,22.5,76.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,36.1,70.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,22.9,84.6,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,22.9,94.4,Brown Spot
Rice,Brown,Black,Medium,No,No,Healthy,20.6,70.5,Brown Spot
Rice,Yellow,Brown,None,No,Yes,Healthy,35.0,81.3,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,34.6,97.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,16.2,74.4,Brown Spot
Rice,Green,Brown,Medium,No,No,Healthy,18.3,99.7,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,27.7,80.5,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,24.2,77.7,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,25.9,102.2,Brown Spot
Rice,Brown,Brown,Small,No,No,Healthy,29.1,91.0,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,29.8,69.1,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,35.0,88.0,Brown Spot
Rice,Green,Brown,Medium,No,Yes,Cracked,33.4,92.6,Brown Spot
Rice,Brown,White,Medium,No,No,Healthy,29.7,93.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,32.9,84.4,Brown Spot
Rice,Brown,Brown,Medium,No,No,Cracked,31.3,93.1,Brown Spot
Rice,Black,Brown,Medium,No,Yes,Healthy,27.1,102.3,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,26.2,66.6,Brown Spot
Rice,Brown,Brown,Medium,No,No,Healthy,30.6,87.5,Brown Spot
Rice,Brown,Brown,Medium,Yes,No,Healthy,25.1,94.8,Brown Spot
Rice,Brown,Brown,Medium,No,Yes,Healthy,17.9,67.1,Brown Spot
Rice,Brown,Brown,None,No,Yes,Healthy,32.7,72.0,Brown Spot
